hook,latent,class,auc_clean,auc_recon,auc_abl,delta_causal,delta_causal_pos_mean,delta_causal_neg_mean,delta_causal_boot_mean,delta_causal_ci95_lo,delta_causal_ci95_hi,delta_recon,n_pos,n_neg
stage2,310,STTC,0.9258444095742672,0.9257082098665813,0.9188833455226348,0.0068248643439464685,-0.041129518300294876,-0.059652239084243774,0.0068459909976087445,0.004327013345783743,0.009634479550329747,0.00013619970768585787,521,1677
stage2,545,STTC,0.9258444095742672,0.9257082098665813,0.9229498796521072,0.002758330214474136,0.02480129525065422,-0.007966614328324795,0.002781356149531754,0.0006799864082844696,0.0049140296882194704,0.00013619970768585787,521,1677
stage2,657,STTC,0.9258444095742672,0.9257082098665813,0.9237739451103733,0.0019342647562080595,0.03606247901916504,0.008027947507798672,0.0019420719653113604,0.0007014505497164482,0.0032056514468532717,0.00013619970768585787,521,1677
stage2,108,STTC,0.9258444095742672,0.9257082098665813,0.9238803868987326,0.001827822967848669,0.011270735412836075,-0.006739438511431217,0.0018387494634877592,0.0006068362358606377,0.003115005177012972,0.00013619970768585787,521,1677
stage2,321,STTC,0.9258444095742672,0.9257082098665813,0.9242317592538545,0.0014764506127268318,0.038832198828458786,0.015945490449666977,0.001548020891985721,0.00014163970237880138,0.0028670715835938027,0.00013619970768585787,521,1677
stage2,1248,STTC,0.9258444095742672,0.9257082098665813,0.9246426474476289,0.0010655624189523927,0.01703415811061859,0.007781154476106167,0.0010460140130789596,-0.00021916852078147635,0.0024098190325081647,0.00013619970768585787,521,1677
stage2,1299,STTC,0.9258444095742672,0.9257082098665813,0.9248795662668804,0.0008286435997009178,-0.002263970673084259,-0.004706305917352438,0.0008328400872501409,0.0004422383874137403,0.0012325397442039337,0.00013619970768585787,521,1677
stage2,177,STTC,0.9258444095742672,0.9257082098665813,0.924943660246968,0.0007645496196133639,-0.006170240696519613,-0.008166334591805935,0.0007581359515037261,0.0001929977547161038,0.0012717718896229884,0.00013619970768585787,521,1677
stage2,208,STTC,0.9258444095742672,0.9257082098665813,0.9249940198027506,0.0007141900638306664,-0.0017689799424260855,-0.02456877939403057,0.0007114229724200381,-0.0010634415107476647,0.002325966516021205,0.00013619970768585787,521,1677
stage2,1413,STTC,0.9258444095742672,0.9257082098665813,0.9252721418949156,0.0004360679716657323,0.011289460584521294,0.001663629082031548,0.0004482517953284724,-0.0003621929634319314,0.0012085318487147887,0.00013619970768585787,521,1677
